station,lat,lon,mean_demand,cluster_id,cluster_label
Gauthier / Parthenais,45.53292625574653,-73.56377989053726,5.76,0,low
Gauthier / de Lorimier,45.53166363055749,-73.56536373496056,11.26,2,medium
Gilford / Papineau,45.5343936461316,-73.57823699712753,9.07,0,low
Gilford / St-Denis,45.52497612960628,-73.58558893203735,14.58,2,medium
Gilford / de Brébeuf,45.530870247773066,-73.58155757188797,7.25,0,low
Gilford / des Érables,45.53728040418993,-73.57534691691399,6.67,0,low
Guy / Notre-Dame,45.49000058071911,-73.56706600863617,9.53,0,low
Guy / Sainte-Catherine,45.49497512853125,-73.57777043248461,16.95,1,high
HEC (Decelles / Jean-Brillant),45.49772282989976,-73.61925333738327,6.75,0,low
Henri-Julien / Laurier,45.52574657625029,-73.59033644199371,8.62,0,low
Henri-Julien / de Castelnau,45.53789110878484,-73.6182153224945,7.68,0,low
Henri-Julien / du Carmel,45.52795093787009,-73.59502326697111,7.58,0,low
Henri-Julien / du Mont-Royal,45.52302929545924,-73.58409225940704,14.76,2,medium
Hotel-de-Ville / du Mont-Royal,45.522178004145694,-73.58460858464241,8.08,0,low
Hutchison / Beaubien,45.52605851018324,-73.61296892166138,5.6,0,low
Hutchison / Prince-Arthur,45.50975858607626,-73.57610732316971,9.51,0,low
Hutchison / Van Horne,45.52497612960628,-73.61066222190857,6.04,0,low
Jeanne-Mance / Laurier,45.52027633320609,-73.59497621666378,13.21,2,medium
Jeanne-Mance / René-Lévesque,45.5063713381299,-73.5642009973526,8.97,0,low
Jeanne-Mance / Sherbrooke,45.50930703597578,-73.57108778790793,8.57,0,low
Jeanne-Mance / St-Viateur,45.523026476635074,-73.60184043645859,14.4,2,medium
Jeanne-d'Arc / Ontario,45.54959767887176,-73.54187428951263,9.82,2,medium
Joseph-Manseau / René-Levesque,45.49168652100804,-73.57682347297668,7.16,0,low
La Fontaine / Alexandre-de-Sève,45.52330366033427,-73.55799973011017,6.62,0,low
Labadie / du Parc,45.5198946757576,-73.59682738780975,6.53,0,low
Lajeunesse / Villeray,45.54218173507584,-73.62268656492233,6.76,0,low
Laurier / St-Denis,45.527151861484136,-73.5894546733414,19.76,1,high
Laurier / de Bordeaux,45.53725128371284,-73.57918381690979,10.51,2,medium
Laurier / de Brébeuf,45.53244901681983,-73.5847695171833,21.4,1,high
Laval / Duluth,45.51919262007159,-73.57715925047026,12.96,2,medium
Laval / du Mont-Royal,45.5223645775784,-73.58414590358734,10.18,2,medium
Letourneux / Ste-Catherine,45.55078357889704,-73.53409996037954,6.48,0,low
Lincoln / St-Mathieu,45.49503704949293,-73.58157634735107,9.93,2,medium
Logan / de Champlain,45.5231943285584,-73.55584256350994,5.83,0,low
Louis-Hémon / Rosemont,45.54444711747779,-73.58805317794327,5.62,0,low
Léa-Roback / Sir-Georges-Etienne-Cartier,45.471703687608354,-73.58268946409225,15.0,2,medium
Mackay / René-Lévesque,45.49445745087875,-73.57411649085407,7.31,0,low
Mackay / Ste-Catherine,45.495774063803815,-73.57687845826149,8.85,0,low
Mackay / de Maisonneuve,45.49683908719445,-73.5792391143264,21.01,1,high
Maguire / Henri-Julien,45.527041096087785,-73.59347056655677,6.26,0,low
Maguire / St-Laurent,45.52462848559264,-73.5958108305931,10.76,2,medium
Mansfield / Ste-Catherine,45.50140664031126,-73.57165485620499,13.93,2,medium
Marché Atwater,45.480208228000144,-73.57759863138199,9.54,0,low
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,8.59,0,low
Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,10.34,2,medium
