station,lat,lon,mean_demand,cluster_id,cluster_label
de Mentana / Marie-Anne,45.52602656522141,-73.57785880565643,7.8,0,low
de Mentana / du Mont-Royal,45.52695315817868,-73.58006434052899,14.81,2,medium
de Rouen / Lespérance,45.538859462962286,-73.5528177022934,5.81,0,low
de St-Vallier / St-Zotique,45.536434338630336,-73.60783427975548,6.56,0,low
de l'Esplanade / Beaubien,45.52839983858232,-73.61192286014557,8.19,0,low
de l'Esplanade / Rachel,45.51631633525551,-73.58359336853027,11.29,2,medium
de l'Esplanade / Villeneuve,45.51943184213857,-73.59095953859651,8.66,0,low
de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,10.67,2,medium
de l'Hotel-de-Ville / Ontario,45.51374520222444,-73.56666326522826,6.75,0,low
de l'Hôtel-de-Ville / Rachel,45.51989655507833,-73.58010649681091,7.71,0,low
de l'Hôtel-de-Ville / Roy,45.51733075399989,-73.57449866831303,8.27,0,low
de l'Hôtel-de-Ville / Sherbrooke,45.5145247302944,-73.56835573911665,8.21,0,low
de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641113,8.16,0,low
de l'Hôtel-de-Ville / Villeneuve,45.52348082760688,-73.58732756238169,7.04,0,low
de la Commune / Berri,45.51086,-73.54983,13.02,2,medium
de la Commune / King,45.49750375338384,-73.55284452438353,16.64,1,high
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,20.81,1,high
de la Commune / St-Sulpice,45.50424245563398,-73.553469479084,14.95,2,medium
de la Côte St-Paul / St-Ambroise,45.46766565386597,-73.59391784324544,6.27,0,low
de la Montagne / Notre-Dame,45.49291337906463,-73.5646878182888,11.78,2,medium
de la Porte de Québec / St-André,45.51329410938793,-73.55057807196302,5.14,0,low
de la Roche / Bélanger,45.54162310137399,-73.60758966567259,8.0,0,low
des Bassins / du Séminaire,45.49047561880464,-73.56022328138351,10.28,2,medium
des Pins / Hutchison,45.510800289485616,-73.57822090387344,12.74,2,medium
des Pins / St-Laurent,45.51522812881499,-73.5750961303711,18.68,1,high
des Récollets / McGill,45.5008764952487,-73.55900555849075,8.39,0,low
des Érables / Laurier,45.538514913607656,-73.57769921422005,7.47,0,low
des Érables / Rachel,45.533313304815366,-73.56671154499054,6.66,0,low
du Mont-Royal / Augustin-Frigon,45.54355786336148,-73.56780052185059,8.43,0,low
du Mont-Royal / Clark,45.51941,-73.58685,25.26,1,high
du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,9.93,2,medium
du Parc-La Fontaine / Roy,45.523187860681276,-73.56916649348915,7.66,0,low
du Parc-Lafontaine / Rachel,45.52551168509886,-73.57424452900887,10.9,2,medium
du President-Kennedy / Union,45.5051022424836,-73.57187882065773,8.07,0,low
du Rosaire / St-Hubert,45.54481928225348,-73.6215104162693,6.05,0,low
Édouard-Montpetit / de Stirling,45.50723611541054,-73.61489526190432,9.12,0,low
Émile-Duployé / Rachel,45.52970707609694,-73.56998120721983,13.04,2,medium
Émile-Duployé / Sherbrooke,45.52719536319051,-73.5645255446434,14.91,2,medium
